# time  created  delivered  delivered/created
87.0000 1 0 0.0000
98.0000 2 0 0.0000
109.0000 3 0 0.0000
112.0000 4 0 0.0000
209.0000 5 0 0.0000
210.0000 6 0 0.0000
258.0000 7 0 0.0000
373.0000 8 0 0.0000
440.0000 9 0 0.0000
511.0000 10 0 0.0000
525.0000 11 0 0.0000
605.0000 12 0 0.0000
684.0000 13 0 0.0000
755.0000 14 0 0.0000
866.0000 15 0 0.0000
911.5000 15 1 0.0667
974.0000 16 1 0.0625
1023.0000 17 1 0.0588
1058.7000 17 2 0.1176
1123.0000 18 2 0.1111
1162.0000 19 2 0.1053
1252.0000 20 2 0.1000
1254.0000 21 2 0.0952
1350.0000 22 2 0.0909
1350.9000 22 3 0.1364
1454.0000 23 3 0.1304
1498.0000 24 3 0.1250
1528.2000 24 4 0.1667
1570.0000 24 5 0.2083
1575.0000 25 5 0.2000
1589.2000 25 6 0.2400
1600.0000 25 7 0.2800
1637.0000 26 7 0.2692
1639.3000 26 8 0.3077
1690.0000 27 8 0.2963
1712.2000 27 9 0.3333
1714.5000 27 10 0.3704
1768.0000 28 10 0.3571
1837.0000 29 10 0.3448
1941.0000 30 10 0.3333
1948.0000 31 10 0.3226
1962.7000 31 11 0.3548
1965.0000 32 11 0.3438
1976.3000 32 12 0.3750
2081.0000 33 12 0.3636
2177.0000 34 12 0.3529
2250.0000 35 12 0.3429
2250.0000 36 12 0.3333
2287.0000 37 12 0.3243
2401.0000 38 12 0.3158
2519.0000 39 12 0.3077
2564.0000 40 12 0.3000
2565.1000 40 13 0.3250
2581.0000 41 13 0.3171
2629.0000 42 13 0.3095
2720.0000 42 14 0.3333
2726.0000 43 14 0.3256
2806.7000 43 15 0.3488
2833.0000 44 15 0.3409
2910.0000 45 15 0.3333
2938.0000 46 15 0.3261
2968.0000 46 16 0.3478
3046.0000 47 16 0.3404
3147.0000 48 16 0.3333
3260.0000 49 16 0.3265
3329.9000 49 17 0.3469
3348.0000 50 17 0.3400
3413.0000 51 17 0.3333
3450.0000 52 17 0.3269
3451.0000 53 17 0.3208
3488.8000 53 18 0.3396
3528.2000 53 19 0.3585
3547.0000 54 19 0.3519
3592.0000 54 20 0.3704
3661.0000 55 20 0.3636
3667.0000 56 20 0.3571
3688.8000 56 21 0.3750
3762.0000 57 21 0.3684
3799.0000 58 21 0.3621
3819.8000 58 22 0.3793
3834.0000 59 22 0.3729
3851.0000 60 22 0.3667
3851.0000 61 22 0.3607
3884.5000 61 23 0.3770
3899.0000 62 23 0.3710
3909.0000 63 23 0.3651
3912.9000 63 24 0.3810
3931.0000 64 24 0.3750
3973.0000 65 24 0.3692
3985.7000 65 25 0.3846
4048.3000 65 26 0.4000
4050.0000 66 26 0.3939
4079.0000 67 26 0.3881
4101.0000 68 26 0.3824
4102.3000 68 27 0.3971
4137.9000 68 28 0.4118
4144.0000 69 28 0.4058
4152.2000 69 29 0.4203
4188.0000 70 29 0.4143
4232.0000 71 29 0.4085
4245.0000 72 29 0.4028
4281.8000 72 30 0.4167
4335.0000 73 30 0.4110
4376.0000 74 30 0.4054
4392.9000 74 31 0.4189
4436.0000 75 31 0.4133
4503.0000 76 31 0.4079
4561.6000 76 32 0.4211
4614.0000 77 32 0.4156
4659.0000 78 32 0.4103
4696.0000 79 32 0.4051
4794.3000 79 33 0.4177
4798.0000 80 33 0.4125
4861.0000 81 33 0.4074
4906.0000 82 33 0.4024
4942.0000 83 33 0.3976
4946.0000 84 33 0.3929
4982.3000 84 34 0.4048
5052.0000 85 34 0.4000
5163.0000 86 34 0.3953
5212.0000 87 34 0.3908
5242.6000 87 35 0.4023
5267.2000 87 36 0.4138
5312.0000 88 36 0.4091
5421.0000 89 36 0.4045
5524.3000 89 37 0.4157
5528.0000 90 37 0.4111
5634.0000 91 37 0.4066
5663.0000 92 37 0.4022
5686.0000 93 37 0.3978
5773.0000 94 37 0.3936
5774.4000 94 38 0.4043
5795.0000 95 38 0.4000
5800.0000 96 38 0.3958
5800.0000 97 38 0.3918
5881.0000 98 38 0.3878
5979.0000 99 38 0.3838
6006.0000 100 38 0.3800
6018.0000 101 38 0.3762
6121.0000 102 38 0.3725
6127.0000 103 38 0.3689
6193.2000 103 39 0.3786
6243.0000 104 39 0.3750
6278.0000 105 39 0.3714
6340.1000 105 40 0.3810
6359.0000 106 40 0.3774
6413.1000 106 41 0.3868
6414.0000 107 41 0.3832
6439.0000 108 41 0.3796
6498.0000 109 41 0.3761
6575.0000 110 41 0.3727
6585.2000 110 42 0.3818
6660.0000 111 42 0.3784
6682.0000 112 42 0.3750
6684.0000 113 42 0.3717
6741.0000 114 42 0.3684
6777.2000 114 43 0.3772
6779.0000 115 43 0.3739
6781.0000 116 43 0.3707
6797.0000 117 43 0.3675
6817.0000 118 43 0.3644
6850.2000 118 44 0.3729
6874.0000 119 44 0.3697
6887.6000 119 45 0.3782
6911.0000 120 45 0.3750
6924.7000 120 46 0.3833
6954.8000 120 47 0.3917
7017.0000 121 47 0.3884
7044.0000 122 47 0.3852
7093.0000 123 47 0.3821
7132.0000 124 47 0.3790
7183.0000 125 47 0.3760
7226.0000 126 47 0.3730
7252.8000 126 48 0.3810
7268.0000 127 48 0.3780
7323.0000 128 48 0.3750
7390.6000 128 49 0.3828
7441.0000 129 49 0.3798
7465.0000 130 49 0.3769
7471.0000 131 49 0.3740
7498.0000 131 50 0.3817
7506.0000 132 50 0.3788
7603.9000 132 51 0.3864
7625.0000 133 51 0.3835
7666.2000 133 52 0.3910
7689.1000 133 53 0.3985
7704.0000 134 53 0.3955
7786.0000 135 53 0.3926
7821.9000 135 54 0.4000
7841.0000 136 54 0.3971
7844.2000 136 55 0.4044
7876.3000 136 56 0.4118
7899.0000 137 56 0.4088
7930.0000 137 57 0.4161
7990.1000 137 58 0.4234
8000.0000 138 58 0.4203
8087.4000 138 59 0.4275
8091.0000 139 59 0.4245
8091.0000 140 59 0.4214
8119.0000 141 59 0.4184
8205.0000 142 59 0.4155
8298.0000 143 59 0.4126
8348.0000 144 59 0.4097
8446.4000 144 60 0.4167
8453.0000 145 60 0.4138
8500.0000 146 60 0.4110
8534.3000 146 61 0.4178
8581.7000 146 62 0.4247
8593.4000 146 63 0.4315
8609.0000 147 63 0.4286
8659.0000 148 63 0.4257
8706.8000 148 64 0.4324
8713.3000 148 65 0.4392
8746.0000 149 65 0.4362
8841.0000 149 66 0.4430
8845.0000 150 66 0.4400
8870.2000 150 67 0.4467
8964.0000 151 67 0.4437
9032.0000 152 67 0.4408
9051.6000 152 68 0.4474
9075.1000 152 69 0.4539
9112.0000 153 69 0.4510
9134.8000 153 70 0.4575
9156.1000 153 71 0.4641
9176.0000 154 71 0.4610
9191.8000 154 72 0.4675
9263.0000 155 72 0.4645
9285.0000 155 73 0.4710
9332.0000 156 73 0.4679
9333.9000 156 74 0.4744
9447.0000 157 74 0.4713
9537.0000 158 74 0.4684
9596.0000 159 74 0.4654
9652.3000 159 75 0.4717
9658.7000 159 76 0.4780
9693.0000 160 76 0.4750
9767.0000 161 76 0.4720
9812.0000 162 76 0.4691
9826.0000 163 76 0.4663
9829.4000 163 77 0.4724
9850.9000 163 78 0.4785
9869.9000 163 79 0.4847
9890.2000 163 80 0.4908
9911.0000 164 80 0.4878
9923.0000 165 80 0.4848
9954.1000 165 81 0.4909
9970.0000 166 81 0.4880
10028.1000 166 82 0.4940
10030.0000 166 83 0.5000
10046.4000 166 84 0.5060
10047.0000 167 84 0.5030
10124.0000 168 84 0.5000
10200.0000 169 84 0.4970
10307.0000 170 84 0.4941
10328.0000 171 84 0.4912
10386.1000 171 85 0.4971
10386.2000 171 86 0.5029
10406.0000 172 86 0.5000
10451.5000 172 87 0.5058
10469.0000 173 87 0.5029
10527.1000 173 88 0.5087
10532.1000 173 89 0.5145
10562.0000 174 89 0.5115
10581.0000 175 89 0.5086
10581.9000 175 90 0.5143
10585.0000 176 90 0.5114
10699.0000 177 90 0.5085
10784.5000 177 91 0.5141
10799.0000 178 91 0.5112
10864.0000 179 91 0.5084
10914.2000 179 92 0.5140
10936.5000 179 93 0.5196
10939.5000 179 94 0.5251
10980.0000 180 94 0.5222
11036.0000 181 94 0.5193
11063.7000 181 95 0.5249
11067.4000 181 96 0.5304
11078.0000 182 96 0.5275
11095.6000 182 97 0.5330
11097.9000 182 98 0.5385
11108.0000 183 98 0.5355
11126.0000 184 98 0.5326
11141.0000 185 98 0.5297
11178.0000 186 98 0.5269
11232.0000 187 98 0.5241
11299.0000 188 98 0.5213
11365.0000 189 98 0.5185
11430.0000 190 98 0.5158
11517.9000 190 99 0.5211
11530.0000 191 99 0.5183
11535.2000 191 100 0.5236
11559.7000 191 101 0.5288
11613.0000 192 101 0.5260
11615.7000 192 102 0.5313
11652.0000 193 102 0.5285
11695.0000 194 102 0.5258
11796.6000 194 103 0.5309
11814.0000 195 103 0.5282
11852.8000 195 104 0.5333
11888.3000 195 105 0.5385
11892.8000 195 106 0.5436
11933.0000 196 106 0.5408
11975.0000 197 106 0.5381
11989.0000 198 106 0.5354
11999.1000 198 107 0.5404
12046.0000 199 107 0.5377
12105.0000 200 107 0.5350
12106.7000 200 108 0.5400
12129.5000 200 109 0.5450
12146.9000 200 110 0.5500
12189.0000 201 110 0.5473
12202.0000 202 110 0.5446
12275.0000 203 110 0.5419
12277.0000 204 110 0.5392
12282.9000 204 111 0.5441
12296.0000 205 111 0.5415
12323.0000 206 111 0.5388
12400.1000 206 112 0.5437
12435.0000 207 112 0.5411
12449.8000 207 113 0.5459
12535.0000 208 113 0.5433
12573.0000 209 113 0.5407
12629.0000 210 113 0.5381
12629.0000 211 113 0.5355
12675.0000 212 113 0.5330
12676.0000 213 113 0.5305
12699.1000 213 114 0.5352
12722.0000 214 114 0.5327
12754.6000 214 115 0.5374
12760.0000 215 115 0.5349
12817.9000 215 116 0.5395
12858.0000 216 116 0.5370
12920.0000 217 116 0.5346
12991.0000 218 116 0.5321
13005.8000 218 117 0.5367
13033.0000 219 117 0.5342
13068.0000 220 117 0.5318
13077.0000 220 118 0.5364
13131.0000 221 118 0.5339
13185.0000 222 118 0.5315
13207.6000 222 119 0.5360
13297.0000 223 119 0.5336
13396.0000 224 119 0.5313
13426.0000 225 119 0.5289
13431.0000 226 119 0.5265
13449.0000 227 119 0.5242
13491.1000 227 120 0.5286
13509.0000 228 120 0.5263
13531.2000 228 121 0.5307
13588.0000 229 121 0.5284
13676.0000 230 121 0.5261
13698.3000 230 122 0.5304
13748.6000 230 123 0.5348
13774.0000 231 123 0.5325
13784.0000 232 123 0.5302
13809.6000 232 124 0.5345
13865.1000 232 125 0.5388
13867.0000 233 125 0.5365
13875.2000 233 126 0.5408
13925.8000 233 127 0.5451
13962.0000 234 127 0.5427
13990.0000 235 127 0.5404
14027.5000 235 128 0.5447
14060.0000 235 129 0.5489
14092.0000 236 129 0.5466
14138.0000 237 129 0.5443
14232.0000 237 130 0.5485
14233.0000 238 130 0.5462
14233.0000 239 130 0.5439
14276.8000 239 131 0.5481
14300.0000 240 131 0.5458
14304.3000 240 132 0.5500
14330.3000 240 133 0.5542
14366.0000 241 133 0.5519
14390.0000 242 133 0.5496
14457.0000 243 133 0.5473
14461.5000 243 134 0.5514
14469.0000 244 134 0.5492
14477.2000 244 135 0.5533
14528.0000 245 135 0.5510
14572.0000 246 135 0.5488
14606.0000 247 135 0.5466
14704.0000 248 135 0.5444
14718.4000 248 136 0.5484
14739.0000 249 136 0.5462
14778.8000 249 137 0.5502
14825.0000 250 137 0.5480
14907.0000 251 137 0.5458
14913.1000 251 138 0.5498
14943.0000 252 138 0.5476
14953.7000 252 139 0.5516
14968.6000 252 140 0.5556
15042.1000 252 141 0.5595
15051.0000 252 142 0.5635
15055.0000 253 142 0.5613
15123.0000 254 142 0.5591
15208.0000 255 142 0.5569
15265.0000 256 142 0.5547
15265.0000 257 142 0.5525
15296.9000 257 143 0.5564
15320.0000 258 143 0.5543
15320.6000 258 144 0.5581
15426.0000 259 144 0.5560
15465.6000 259 145 0.5598
15480.0000 260 145 0.5577
15576.0000 261 145 0.5556
15581.4000 261 146 0.5594
15613.0000 262 146 0.5573
15660.0000 263 146 0.5551
15661.0000 264 146 0.5530
15680.0000 264 147 0.5568
15717.0000 265 147 0.5547
15771.1000 265 148 0.5585
15798.2000 265 149 0.5623
15806.4000 265 150 0.5660
15819.0000 266 150 0.5639
15894.0000 267 150 0.5618
15936.0000 268 150 0.5597
15989.0000 269 150 0.5576
15995.0000 270 150 0.5556
16003.7000 270 151 0.5593
16006.5000 270 152 0.5630
16039.0000 271 152 0.5609
16133.0000 272 152 0.5588
16204.0000 273 152 0.5568
16274.0000 274 152 0.5547
16354.0000 275 152 0.5527
16454.0000 276 152 0.5507
16505.0000 277 152 0.5487
16505.7000 277 153 0.5523
16508.6000 277 154 0.5560
16532.0000 278 154 0.5540
16619.0000 278 155 0.5576
16642.0000 279 155 0.5556
16693.0000 280 155 0.5536
16753.8000 280 156 0.5571
16766.0000 281 156 0.5552
16769.0000 282 156 0.5532
16790.9000 282 157 0.5567
16814.0000 283 157 0.5548
16875.8000 283 158 0.5583
16899.9000 283 159 0.5618
16912.0000 284 159 0.5599
16935.0000 285 159 0.5579
16958.0000 286 159 0.5559
16982.0000 286 160 0.5594
17048.2000 286 161 0.5629
17065.0000 287 161 0.5610
17066.5000 287 162 0.5645
17070.0000 288 162 0.5625
17184.0000 289 162 0.5606
17252.0000 289 163 0.5640
17259.0000 290 163 0.5621
17336.3000 290 164 0.5655
17345.0000 291 164 0.5636
17375.0000 292 164 0.5616
17410.1000 292 165 0.5651
17426.1000 292 166 0.5685
17434.0000 293 166 0.5666
17448.1000 293 167 0.5700
17480.0000 294 167 0.5680
17577.4000 294 168 0.5714
17582.0000 295 168 0.5695
17606.0000 296 168 0.5676
17629.0000 297 168 0.5657
17669.0000 298 168 0.5638
17703.1000 298 169 0.5671
17718.1000 298 170 0.5705
17762.9000 298 171 0.5738
17773.0000 299 171 0.5719
17814.5000 299 172 0.5753
17849.0000 300 172 0.5733
17862.0000 301 172 0.5714
17908.0000 302 172 0.5695
17979.3000 302 173 0.5728
17991.0000 303 173 0.5710
18031.0000 304 173 0.5691
18123.8000 304 174 0.5724
18138.0000 305 174 0.5705
18238.7000 305 175 0.5738
18249.0000 306 175 0.5719
18279.4000 306 176 0.5752
18321.0000 307 176 0.5733
18334.0000 307 177 0.5765
18340.3000 307 178 0.5798
18348.0000 308 178 0.5779
18356.7000 308 179 0.5812
18373.0000 308 180 0.5844
18457.0000 309 180 0.5825
18460.6000 309 181 0.5858
18477.8000 309 182 0.5890
18496.1000 309 183 0.5922
18570.0000 310 183 0.5903
18570.7000 310 184 0.5935
18664.0000 311 184 0.5916
18710.0000 312 184 0.5897
18726.0000 313 184 0.5879
18827.0000 314 184 0.5860
18851.0000 315 184 0.5841
18921.0000 316 184 0.5823
18941.0000 317 184 0.5804
18994.9000 317 185 0.5836
19053.0000 318 185 0.5818
19147.3000 318 186 0.5849
19157.0000 319 186 0.5831
19171.7000 319 187 0.5862
19234.3000 319 188 0.5893
19243.8000 319 189 0.5925
19244.0000 320 189 0.5906
19287.0000 321 189 0.5888
19336.6000 321 190 0.5919
19338.0000 322 190 0.5901
19429.5000 322 191 0.5932
19430.0000 323 191 0.5913
19436.0000 323 192 0.5944
19451.0000 324 192 0.5926
19504.3000 324 193 0.5957
19507.0000 324 194 0.5988
19523.0000 325 194 0.5969
